area,ethnic_group,value
Avonside,European or Other (including New Zealander),1350
Avonside,Maori,340
Avonside,Pacific,140
Avonside,Asian,130
Avonside,Middle Eastern/Latin American/African,30
Linwood West,"Total people, ethnic group",5250
Linwood West,European or Other (including New Zealander),2900
Linwood West,Maori,720
Linwood West,Pacific,290
Linwood West,Asian,1710
Linwood West,Middle Eastern/Latin American/African,150
Halswell South,"Total people, ethnic group",2570
Halswell South,European or Other (including New Zealander),2280
Halswell South,Maori,140
Halswell South,Pacific,30
Halswell South,Asian,230
Halswell South,Middle Eastern/Latin American/African,30
Sydenham Central,"Total people, ethnic group",150
Sydenham Central,European or Other (including New Zealander),100
Sydenham Central,Maori,20
Sydenham Central,Pacific,0
Sydenham Central,Asian,30
Sydenham Central,Middle Eastern/Latin American/African,0
Spreydon South,"Total people, ethnic group",2430
Spreydon South,European or Other (including New Zealander),2000
Spreydon South,Maori,290
Spreydon South,Pacific,100
Spreydon South,Asian,270
Spreydon South,Middle Eastern/Latin American/African,20
Rawhiti,"Total people, ethnic group",2860
Rawhiti,European or Other (including New Zealander),2520
Rawhiti,Maori,420
Rawhiti,Pacific,150
Rawhiti,Asian,130
Rawhiti,Middle Eastern/Latin American/African,20
Wainoni,"Total people, ethnic group",2900
Wainoni,European or Other (including New Zealander),2260
Wainoni,Maori,590
Wainoni,Pacific,290
Wainoni,Asian,240
Wainoni,Middle Eastern/Latin American/African,40
Linwood North,"Total people, ethnic group",2830
Linwood North,European or Other (including New Zealander),2180
Linwood North,Maori,520
Linwood North,Pacific,210
Linwood North,Asian,310
Linwood North,Middle Eastern/Latin American/African,60
Aranui,"Total people, ethnic group",4380
Aranui,European or Other (including New Zealander),2910
Aranui,Maori,1340
Aranui,Pacific,790
Aranui,Asian,170
Aranui,Middle Eastern/Latin American/African,20
Sydenham West,"Total people, ethnic group",1360
Sydenham West,European or Other (including New Zealander),1130
Sydenham West,Maori,110
Sydenham West,Pacific,40
Sydenham West,Asian,140
Sydenham West,Middle Eastern/Latin American/African,40
Lancaster Park,"Total people, ethnic group",260
Lancaster Park,European or Other (including New Zealander),140
Lancaster Park,Maori,30
Lancaster Park,Pacific,20
Lancaster Park,Asian,80
Lancaster Park,Middle Eastern/Latin American/African,10
Phillipstown,"Total people, ethnic group",4240
Phillipstown,European or Other (including New Zealander),2610
Phillipstown,Maori,680
Phillipstown,Pacific,360
Phillipstown,Asian,1030
Phillipstown,Middle Eastern/Latin American/African,110
Kennedys Bush,"Total people, ethnic group",920
Kennedys Bush,European or Other (including New Zealander),890
Kennedys Bush,Maori,30
Kennedys Bush,Pacific,10
Kennedys Bush,Asian,30
Kennedys Bush,Middle Eastern/Latin American/African,10
Somerfield East,"Total people, ethnic group",3830
Somerfield East,European or Other (including New Zealander),3420
Somerfield East,Maori,340
Somerfield East,Pacific,70
Somerfield East,Asian,290
Somerfield East,Middle Eastern/Latin American/African,70
Somerfield West,"Total people, ethnic group",3130
Somerfield West,European or Other (including New Zealander),2860
Somerfield West,Maori,230
Somerfield West,Pacific,60
Somerfield West,Asian,200
Somerfield West,Middle Eastern/Latin American/African,30
Linwood East,"Total people, ethnic group",2210
Linwood East,European or Other (including New Zealander),1540
Linwood East,Maori,510
Linwood East,Pacific,240
Linwood East,Asian,280
Linwood East,Middle Eastern/Latin American/African,20
Sydenham North,"Total people, ethnic group",2110
Sydenham North,European or Other (including New Zealander),1430
Sydenham North,Maori,230
Sydenham North,Pacific,120
Sydenham North,Asian,490
Sydenham North,Middle Eastern/Latin American/African,40
Hoon Hay South,"Total people, ethnic group",2240
Hoon Hay South,European or Other (including New Zealander),2040
Hoon Hay South,Maori,180
Hoon Hay South,Pacific,70
Hoon Hay South,Asian,140
Hoon Hay South,Middle Eastern/Latin American/African,20
Charleston (Christchurch city),"Total people, ethnic group",1480
Charleston (Christchurch city),European or Other (including New Zealander),960
Charleston (Christchurch city),Maori,240
Charleston (Christchurch city),Pacific,100
Charleston (Christchurch city),Asian,320
Charleston (Christchurch city),Middle Eastern/Latin American/African,30
Sydenham South,"Total people, ethnic group",2900
Sydenham South,European or Other (including New Zealander),2170
Sydenham South,Maori,240
Sydenham South,Pacific,120
Sydenham South,Asian,540
Sydenham South,Middle Eastern/Latin American/African,50
Bexley,"Total people, ethnic group",2640
Bexley,European or Other (including New Zealander),2010
Bexley,Maori,670
Bexley,Pacific,350
Bexley,Asian,140
Bexley,Middle Eastern/Latin American/African,10
Waltham,"Total people, ethnic group",2030
Waltham,European or Other (including New Zealander),1490
Waltham,Maori,250
Waltham,Pacific,130
Waltham,Asian,350
Waltham,Middle Eastern/Latin American/African,60
Westmorland,"Total people, ethnic group",2250
Westmorland,European or Other (including New Zealander),2070
Westmorland,Maori,120
Westmorland,Pacific,20
Westmorland,Asian,160
Westmorland,Middle Eastern/Latin American/African,20
Woolston North,"Total people, ethnic group",3540
Woolston North,European or Other (including New Zealander),2620
Woolston North,Maori,620
Woolston North,Pacific,290
Woolston North,Asian,480
Woolston North,Middle Eastern/Latin American/African,30
New Brighton,"Total people, ethnic group",3450
New Brighton,European or Other (including New Zealander),3130
New Brighton,Maori,490
New Brighton,Pacific,110
New Brighton,Asian,110
New Brighton,Middle Eastern/Latin American/African,40
Cashmere West,"Total people, ethnic group",3150
Cashmere West,European or Other (including New Zealander),2930
Cashmere West,Maori,150
Cashmere West,Pacific,40
Cashmere West,Asian,170
Cashmere West,Middle Eastern/Latin American/African,30
Bromley South,"Total people, ethnic group",3030
Bromley South,European or Other (including New Zealander),2300
Bromley South,Maori,600
Bromley South,Pacific,380
Bromley South,Asian,230
Bromley South,Middle Eastern/Latin American/African,40
Ensors,"Total people, ethnic group",2390
Ensors,European or Other (including New Zealander),1980
Ensors,Maori,310
Ensors,Pacific,160
Ensors,Asian,190
Ensors,Middle Eastern/Latin American/African,50
Beckenham,"Total people, ethnic group",2480
Beckenham,European or Other (including New Zealander),2350
Beckenham,Maori,160
Beckenham,Pacific,20
Beckenham,Asian,90
Beckenham,Middle Eastern/Latin American/African,40
Bromley North,"Total people, ethnic group",60
Bromley North,European or Other (including New Zealander),50
Bromley North,Maori,10
Bromley North,Pacific,0
Bromley North,Asian,0
Bromley North,Middle Eastern/Latin American/African,0
St Martins,"Total people, ethnic group",2800
St Martins,European or Other (including New Zealander),2540
St Martins,Maori,210
St Martins,Pacific,70
St Martins,Asian,140
St Martins,Middle Eastern/Latin American/African,50
Opawa,"Total people, ethnic group",1390
Opawa,European or Other (including New Zealander),1270
Opawa,Maori,100
Opawa,Pacific,20
Opawa,Asian,70
Opawa,Middle Eastern/Latin American/African,10
Woolston West,"Total people, ethnic group",1260
Woolston West,European or Other (including New Zealander),1070
Woolston West,Maori,210
Woolston West,Pacific,70
Woolston West,Asian,80
Woolston West,Middle Eastern/Latin American/African,10
Woolston East,"Total people, ethnic group",3330
Woolston East,European or Other (including New Zealander),2510
Woolston East,Maori,470
Woolston East,Pacific,320
Woolston East,Asian,390
Woolston East,Middle Eastern/Latin American/African,30
Huntsbury,"Total people, ethnic group",2320
Huntsbury,European or Other (including New Zealander),2190
Huntsbury,Maori,110
Huntsbury,Pacific,20
Huntsbury,Asian,90
Huntsbury,Middle Eastern/Latin American/African,30
Cashmere East,"Total people, ethnic group",3490
Cashmere East,European or Other (including New Zealander),3260
Cashmere East,Maori,140
Cashmere East,Pacific,20
Cashmere East,Asian,200
Cashmere East,Middle Eastern/Latin American/African,40
Hillsborough (Christchurch city),"Total people, ethnic group",2450
Hillsborough (Christchurch city),European or Other (including New Zealander),2240
Hillsborough (Christchurch city),Maori,220
Hillsborough (Christchurch city),Pacific,50
Hillsborough (Christchurch city),Asian,120
Hillsborough (Christchurch city),Middle Eastern/Latin American/African,20
Woolston South,"Total people, ethnic group",530
Woolston South,European or Other (including New Zealander),390
Woolston South,Maori,80
Woolston South,Pacific,30
Woolston South,Asian,50
Woolston South,Middle Eastern/Latin American/African,20
Port Hills,"Total people, ethnic group",70
Port Hills,European or Other (including New Zealander),70
Port Hills,Maori,0
Port Hills,Pacific,0
Port Hills,Asian,0
Port Hills,Middle Eastern/Latin American/African,0
South New Brighton,"Total people, ethnic group",3330
South New Brighton,European or Other (including New Zealander),3110
South New Brighton,Maori,440
South New Brighton,Pacific,110
South New Brighton,Asian,90
South New Brighton,Middle Eastern/Latin American/African,30
Brookhaven-Ferrymead,"Total people, ethnic group",1110
Brookhaven-Ferrymead,European or Other (including New Zealander),930
Brookhaven-Ferrymead,Maori,140
Brookhaven-Ferrymead,Pacific,70
Brookhaven-Ferrymead,Asian,90
Brookhaven-Ferrymead,Middle Eastern/Latin American/African,0
Heathcote Valley,"Total people, ethnic group",2290
Heathcote Valley,European or Other (including New Zealander),2170
Heathcote Valley,Maori,150
Heathcote Valley,Pacific,40
Heathcote Valley,Asian,60
Heathcote Valley,Middle Eastern/Latin American/African,20
Mount Pleasant,"Total people, ethnic group",3670
Mount Pleasant,European or Other (including New Zealander),3480
Mount Pleasant,Maori,190
Mount Pleasant,Pacific,30
Mount Pleasant,Asian,140
Mount Pleasant,Middle Eastern/Latin American/African,30
Redcliffs,"Total people, ethnic group",2020
Redcliffs,European or Other (including New Zealander),1890
Redcliffs,Maori,150
Redcliffs,Pacific,20
Redcliffs,Asian,90
Redcliffs,Middle Eastern/Latin American/African,40
Governors Bay,"Total people, ethnic group",910
Governors Bay,European or Other (including New Zealander),880
Governors Bay,Maori,40
Governors Bay,Pacific,10
Governors Bay,Asian,20
Governors Bay,Middle Eastern/Latin American/African,10
Inlets other Christchurch city,"Total people, ethnic group",0
Inlets other Christchurch city,European or Other (including New Zealander),0
Inlets other Christchurch city,Maori,0
Inlets other Christchurch city,Pacific,0
Inlets other Christchurch city,Asian,0
Inlets other Christchurch city,Middle Eastern/Latin American/African,0
Clifton Hill,"Total people, ethnic group",1700
Clifton Hill,European or Other (including New Zealander),1650
Clifton Hill,Maori,70
Clifton Hill,Pacific,10
Clifton Hill,Asian,50
Clifton Hill,Middle Eastern/Latin American/African,10
Lyttelton,"Total people, ethnic group",3100
Lyttelton,European or Other (including New Zealander),2890
Lyttelton,Maori,320
Lyttelton,Pacific,30
Lyttelton,Asian,100
Lyttelton,Middle Eastern/Latin American/African,30
Inlet Port Lyttelton,"Total people, ethnic group",0
Inlet Port Lyttelton,European or Other (including New Zealander),0
Inlet Port Lyttelton,Maori,0
Inlet Port Lyttelton,Pacific,0
Inlet Port Lyttelton,Asian,0
Inlet Port Lyttelton,Middle Eastern/Latin American/African,0
Sumner,"Total people, ethnic group",3670
Sumner,European or Other (including New Zealander),3540
Sumner,Maori,180
Sumner,Pacific,20
Sumner,Asian,90
Sumner,Middle Eastern/Latin American/African,50
Teddington,"Total people, ethnic group",240
Teddington,European or Other (including New Zealander),230
Teddington,Maori,10
Teddington,Pacific,10
Teddington,Asian,0
Teddington,Middle Eastern/Latin American/African,0
Diamond Harbour,"Total people, ethnic group",1530
Diamond Harbour,European or Other (including New Zealander),1470
Diamond Harbour,Maori,100
Diamond Harbour,Pacific,20
Diamond Harbour,Asian,30
Diamond Harbour,Middle Eastern/Latin American/African,0
Inland water Lake Ellesmere/Te Waihora South,"Total people, ethnic group",0
Inland water Lake Ellesmere/Te Waihora South,European or Other (including New Zealander),0
Inland water Lake Ellesmere/Te Waihora South,Maori,0
Inland water Lake Ellesmere/Te Waihora South,Pacific,0
Inland water Lake Ellesmere/Te Waihora South,Asian,0
Inland water Lake Ellesmere/Te Waihora South,Middle Eastern/Latin American/African,0
Banks Peninsula South,"Total people, ethnic group",1210
Banks Peninsula South,European or Other (including New Zealander),1140
Banks Peninsula South,Maori,120
Banks Peninsula South,Pacific,10
Banks Peninsula South,Asian,30
Banks Peninsula South,Middle Eastern/Latin American/African,10
Eastern Bays-Banks Peninsula,"Total people, ethnic group",640
Eastern Bays-Banks Peninsula,European or Other (including New Zealander),610
Eastern Bays-Banks Peninsula,Maori,80
Eastern Bays-Banks Peninsula,Pacific,10
Eastern Bays-Banks Peninsula,Asian,0
Eastern Bays-Banks Peninsula,Middle Eastern/Latin American/African,0
Akaroa Harbour,"Total people, ethnic group",740
Akaroa Harbour,European or Other (including New Zealander),710
Akaroa Harbour,Maori,50
Akaroa Harbour,Pacific,10
Akaroa Harbour,Asian,20
Akaroa Harbour,Middle Eastern/Latin American/African,0
Inlet Akaroa Harbour,"Total people, ethnic group",0
Inlet Akaroa Harbour,European or Other (including New Zealander),0
Inlet Akaroa Harbour,Maori,0
Inlet Akaroa Harbour,Pacific,0
Inlet Akaroa Harbour,Asian,0
Inlet Akaroa Harbour,Middle Eastern/Latin American/African,0
Akaroa,"Total people, ethnic group",770
Akaroa,European or Other (including New Zealander),640
Akaroa,Maori,50
Akaroa,Pacific,10
Akaroa,Asian,100
Akaroa,Middle Eastern/Latin American/African,10
Craigieburn,"Total people, ethnic group",170
Craigieburn,European or Other (including New Zealander),150
Craigieburn,Maori,10
Craigieburn,Pacific,0
Craigieburn,Asian,10
Craigieburn,Middle Eastern/Latin American/African,0
Torlesse,"Total people, ethnic group",1210
Torlesse,European or Other (including New Zealander),1130
Torlesse,Maori,120
Torlesse,Pacific,10
Torlesse,Asian,50
Torlesse,Middle Eastern/Latin American/African,10
Glenroy-Hororata,"Total people, ethnic group",1250
Glenroy-Hororata,European or Other (including New Zealander),1090
Glenroy-Hororata,Maori,80
Glenroy-Hororata,Pacific,0
Glenroy-Hororata,Asian,120
Glenroy-Hororata,Middle Eastern/Latin American/African,20
Glentunnel,"Total people, ethnic group",1230
Glentunnel,European or Other (including New Zealander),1190
Glentunnel,Maori,80
Glentunnel,Pacific,20
Glentunnel,Asian,10
Glentunnel,Middle Eastern/Latin American/African,0
Darfield,"Total people, ethnic group",2830
Darfield,European or Other (including New Zealander),2730
Darfield,Maori,190
Darfield,Pacific,40
Darfield,Asian,50
Darfield,Middle Eastern/Latin American/African,20
Kirwee,"Total people, ethnic group",1320
Kirwee,European or Other (including New Zealander),1290
Kirwee,Maori,70
Kirwee,Pacific,10
Kirwee,Asian,20
Kirwee,Middle Eastern/Latin American/African,0
Bankside,"Total people, ethnic group",1760
Bankside,European or Other (including New Zealander),1450
Bankside,Maori,110
Bankside,Pacific,30
Bankside,Asian,230
Bankside,Middle Eastern/Latin American/African,50
Charing Cross,"Total people, ethnic group",920
Charing Cross,European or Other (including New Zealander),840
Charing Cross,Maori,60
Charing Cross,Pacific,10
Charing Cross,Asian,40
Charing Cross,Middle Eastern/Latin American/African,20
Halkett,"Total people, ethnic group",1700
Halkett,European or Other (including New Zealander),1620
Halkett,Maori,100
Halkett,Pacific,40
Halkett,Asian,40
Halkett,Middle Eastern/Latin American/African,10
Newtons Road,"Total people, ethnic group",3490
Newtons Road,European or Other (including New Zealander),3240
Newtons Road,Maori,300
Newtons Road,Pacific,40
Newtons Road,Asian,110
Newtons Road,Middle Eastern/Latin American/African,20
West Melton,"Total people, ethnic group",2210
West Melton,European or Other (including New Zealander),2090
West Melton,Maori,130
West Melton,Pacific,20
West Melton,Asian,130
West Melton,Middle Eastern/Latin American/African,10
Burnham Camp,"Total people, ethnic group",1280
Burnham Camp,European or Other (including New Zealander),1050
Burnham Camp,Maori,340
Burnham Camp,Pacific,130
Burnham Camp,Asian,60
Burnham Camp,Middle Eastern/Latin American/African,10
Rolleston Izone,"Total people, ethnic group",40
Rolleston Izone,European or Other (including New Zealander),30
Rolleston Izone,Maori,10
Rolleston Izone,Pacific,0
Rolleston Izone,Asian,0
Rolleston Izone,Middle Eastern/Latin American/African,0
Rolleston North West,"Total people, ethnic group",3980
Rolleston North West,European or Other (including New Zealander),3340
Rolleston North West,Maori,440
Rolleston North West,Pacific,120
Rolleston North West,Asian,480
Rolleston North West,Middle Eastern/Latin American/African,50
Springston,"Total people, ethnic group",2230
Springston,European or Other (including New Zealander),2090
Springston,Maori,150
Springston,Pacific,40
Springston,Asian,90
Springston,Middle Eastern/Latin American/African,10
Rolleston Central,"Total people, ethnic group",3410
Rolleston Central,European or Other (including New Zealander),3020
Rolleston Central,Maori,330
Rolleston Central,Pacific,100
Rolleston Central,Asian,270
Rolleston Central,Middle Eastern/Latin American/African,20
Rolleston North East,"Total people, ethnic group",4780
Rolleston North East,European or Other (including New Zealander),4220
Rolleston North East,Maori,420
Rolleston North East,Pacific,100
Rolleston North East,Asian,430
Rolleston North East,Middle Eastern/Latin American/African,40
Inlets Maketu,"Total people, ethnic group",0
Inlets Maketu,European or Other (including New Zealander),0
Inlets Maketu,Maori,0
Inlets Maketu,Pacific,0
Inlets Maketu,Asian,0
Inlets Maketu,Middle Eastern/Latin American/African,0
Maketu,"Total people, ethnic group",1260
Maketu,European or Other (including New Zealander),600
Maketu,Maori,840
Maketu,Pacific,100
Maketu,Asian,10
Maketu,Middle Eastern/Latin American/African,0
Pukehina Beach,"Total people, ethnic group",830
Pukehina Beach,European or Other (including New Zealander),720
Pukehina Beach,Maori,210
Pukehina Beach,Pacific,10
Pukehina Beach,Asian,30
Pukehina Beach,Middle Eastern/Latin American/African,10
Pongakawa,"Total people, ethnic group",3200
Pongakawa,European or Other (including New Zealander),2690
Pongakawa,Maori,750
Pongakawa,Pacific,70
Pongakawa,Asian,150
Pongakawa,Middle Eastern/Latin American/African,30
Matua North,"Total people, ethnic group",2940
Matua North,European or Other (including New Zealander),2740
Matua North,Maori,190
Matua North,Pacific,50
Matua North,Asian,120
Matua North,Middle Eastern/Latin American/African,30
Inlet Tauranga Harbour South,"Total people, ethnic group",0
Inlet Tauranga Harbour South,European or Other (including New Zealander),0
Inlet Tauranga Harbour South,Maori,0
Inlet Tauranga Harbour South,Pacific,0
Inlet Tauranga Harbour South,Asian,0
Inlet Tauranga Harbour South,Middle Eastern/Latin American/African,0
Mount Maunganui North,"Total people, ethnic group",3480
Mount Maunganui North,European or Other (including New Zealander),3140
Mount Maunganui North,Maori,430
Mount Maunganui North,Pacific,60
Mount Maunganui North,Asian,130
Mount Maunganui North,Middle Eastern/Latin American/African,70
Matua South,"Total people, ethnic group",2600
Matua South,European or Other (including New Zealander),2340
Matua South,Maori,300
Matua South,Pacific,50
Matua South,Asian,140
Matua South,Middle Eastern/Latin American/African,30
Bethlehem North,"Total people, ethnic group",3490
Bethlehem North,European or Other (including New Zealander),2950
Bethlehem North,Maori,590
Bethlehem North,Pacific,50
Bethlehem North,Asian,190
Bethlehem North,Middle Eastern/Latin American/African,10
Bellevue,"Total people, ethnic group",3950
Bellevue,European or Other (including New Zealander),3280
Bellevue,Maori,810
Bellevue,Pacific,120
Bellevue,Asian,330
Bellevue,Middle Eastern/Latin American/African,40
Otumoetai North,"Total people, ethnic group",4390
Otumoetai North,European or Other (including New Zealander),3870
Otumoetai North,Maori,540
Otumoetai North,Pacific,60
Otumoetai North,Asian,310
Otumoetai North,Middle Eastern/Latin American/African,50
Otumoetai South,"Total people, ethnic group",3910
Otumoetai South,European or Other (including New Zealander),3490
Otumoetai South,Maori,440
Otumoetai South,Pacific,70
Otumoetai South,Asian,270
Otumoetai South,Middle Eastern/Latin American/African,60
Brookfield West,"Total people, ethnic group",3060
Brookfield West,European or Other (including New Zealander),2360
Brookfield West,Maori,640
Brookfield West,Pacific,90
Brookfield West,Asian,340
Brookfield West,Middle Eastern/Latin American/African,30
Bethlehem Central,"Total people, ethnic group",4250
Bethlehem Central,European or Other (including New Zealander),3670
Bethlehem Central,Maori,290
Bethlehem Central,Pacific,60
Bethlehem Central,Asian,510
Bethlehem Central,Middle Eastern/Latin American/African,20
Brookfield East,"Total people, ethnic group",2940
Brookfield East,European or Other (including New Zealander),2400
Brookfield East,Maori,670
Brookfield East,Pacific,110
Brookfield East,Asian,190
Brookfield East,Middle Eastern/Latin American/African,20
Mount Maunganui South,"Total people, ethnic group",3030
Mount Maunganui South,European or Other (including New Zealander),2800
Mount Maunganui South,Maori,390
Mount Maunganui South,Pacific,40
Mount Maunganui South,Asian,80
Mount Maunganui South,Middle Eastern/Latin American/African,90
Tauranga Central,"Total people, ethnic group",2780
Tauranga Central,European or Other (including New Zealander),2120
Tauranga Central,Maori,290
Tauranga Central,Pacific,70
Tauranga Central,Asian,460
Tauranga Central,Middle Eastern/Latin American/African,50
Mount Maunganui Central,"Total people, ethnic group",360
Mount Maunganui Central,European or Other (including New Zealander),290
Mount Maunganui Central,Maori,90
Mount Maunganui Central,Pacific,0
Mount Maunganui Central,Asian,10
Mount Maunganui Central,Middle Eastern/Latin American/African,10
Judea,"Total people, ethnic group",2700
Judea,European or Other (including New Zealander),2100
Judea,Maori,620
Judea,Pacific,110
Judea,Asian,250
Judea,Middle Eastern/Latin American/African,40
Te Reti,"Total people, ethnic group",1930
Te Reti,European or Other (including New Zealander),1510
Te Reti,Maori,490
Te Reti,Pacific,50
Te Reti,Asian,140
Te Reti,Middle Eastern/Latin American/African,30
Bethlehem South,"Total people, ethnic group",1120
Bethlehem South,European or Other (including New Zealander),1010
Bethlehem South,Maori,90
Bethlehem South,Pacific,20
Bethlehem South,Asian,70
Bethlehem South,Middle Eastern/Latin American/African,0
Omanu Beach,"Total people, ethnic group",3050
Omanu Beach,European or Other (including New Zealander),2810
Omanu Beach,Maori,330
Omanu Beach,Pacific,50
Omanu Beach,Asian,110
Omanu Beach,Middle Eastern/Latin American/African,80
Tauranga Hospital,"Total people, ethnic group",2160
Tauranga Hospital,European or Other (including New Zealander),1450
Tauranga Hospital,Maori,550
Tauranga Hospital,Pacific,150
Tauranga Hospital,Asian,290
Tauranga Hospital,Middle Eastern/Latin American/African,20
Tauriko,"Total people, ethnic group",190
Tauriko,European or Other (including New Zealander),170
Tauriko,Maori,30
Tauriko,Pacific,0
Tauriko,Asian,0
Tauriko,Middle Eastern/Latin American/African,0
Gate Pa,"Total people, ethnic group",4210
Gate Pa,European or Other (including New Zealander),2860
Gate Pa,Maori,1260
Gate Pa,Pacific,350
Gate Pa,Asian,480
Gate Pa,Middle Eastern/Latin American/African,20
Greerton South,"Total people, ethnic group",720
Greerton South,European or Other (including New Zealander),530
Greerton South,Maori,160
Greerton South,Pacific,10
Greerton South,Asian,90
Greerton South,Middle Eastern/Latin American/African,0
Tauranga South,"Total people, ethnic group",4990
Tauranga South,European or Other (including New Zealander),3700
Tauranga South,Maori,860
Tauranga South,Pacific,160
Tauranga South,Asian,780
Tauranga South,Middle Eastern/Latin American/African,50
Arataki North,"Total people, ethnic group",3200
Arataki North,European or Other (including New Zealander),2730
Arataki North,Maori,570
Arataki North,Pacific,80
Arataki North,Asian,150
Arataki North,Middle Eastern/Latin American/African,40
Matapihi,"Total people, ethnic group",760
Matapihi,European or Other (including New Zealander),280
Matapihi,Maori,600
Matapihi,Pacific,10
Matapihi,Asian,10
Matapihi,Middle Eastern/Latin American/African,10
Pyes Pa West,"Total people, ethnic group",3650
Pyes Pa West,European or Other (including New Zealander),3030
Pyes Pa West,Maori,380
Pyes Pa West,Pacific,70
Pyes Pa West,Asian,530
Pyes Pa West,Middle Eastern/Latin American/African,30
Greerton North,"Total people, ethnic group",3590
Greerton North,European or Other (including New Zealander),2810
Greerton North,Maori,730
Greerton North,Pacific,130
Greerton North,Asian,430
Greerton North,Middle Eastern/Latin American/African,20
Yatton Park,"Total people, ethnic group",2770
Yatton Park,European or Other (including New Zealander),1530
Yatton Park,Maori,1160
Yatton Park,Pacific,370
Yatton Park,Asian,260
Yatton Park,Middle Eastern/Latin American/African,20
Pyes Pa North,"Total people, ethnic group",4810
Pyes Pa North,European or Other (including New Zealander),3670
Pyes Pa North,Maori,520
Pyes Pa North,Pacific,130
Pyes Pa North,Asian,880
Pyes Pa North,Middle Eastern/Latin American/African,40
Arataki South,"Total people, ethnic group",3010
Arataki South,European or Other (including New Zealander),2310
Arataki South,Maori,840
Arataki South,Pacific,110
Arataki South,Asian,190
Arataki South,Middle Eastern/Latin American/African,60
Pyes Pa South,"Total people, ethnic group",1480
Pyes Pa South,European or Other (including New Zealander),1280
Pyes Pa South,Maori,150
Pyes Pa South,Pacific,30
Pyes Pa South,Asian,160
Pyes Pa South,Middle Eastern/Latin American/African,10
Poike,"Total people, ethnic group",820
Poike,European or Other (including New Zealander),620
Poike,Maori,260
Poike,Pacific,30
Poike,Asian,40
Poike,Middle Eastern/Latin American/African,0
Te Maunga North,"Total people, ethnic group",3350
Te Maunga North,European or Other (including New Zealander),2690
Te Maunga North,Maori,850
Te Maunga North,Pacific,150
Te Maunga North,Asian,160
Te Maunga North,Middle Eastern/Latin American/African,50
Maungatapu,"Total people, ethnic group",2990
Maungatapu,European or Other (including New Zealander),2360
Maungatapu,Maori,760
Maungatapu,Pacific,90
Maungatapu,Asian,160
Maungatapu,Middle Eastern/Latin American/African,10
Hairini,"Total people, ethnic group",3440
Hairini,European or Other (including New Zealander),2680
Hairini,Maori,960
Hairini,Pacific,90
Hairini,Asian,190
Hairini,Middle Eastern/Latin American/African,30
Pyes Pa East,"Total people, ethnic group",680
Pyes Pa East,European or Other (including New Zealander),510
Pyes Pa East,Maori,180
Pyes Pa East,Pacific,10
Pyes Pa East,Asian,30
Pyes Pa East,Middle Eastern/Latin American/African,0
Te Maunga South,"Total people, ethnic group",4280
Te Maunga South,European or Other (including New Zealander),3800
Te Maunga South,Maori,500
Te Maunga South,Pacific,90
Te Maunga South,Asian,210
Te Maunga South,Middle Eastern/Latin American/African,50
Kaitemako (Tauranga city),"Total people, ethnic group",1570
Kaitemako (Tauranga city),European or Other (including New Zealander),1300
Kaitemako (Tauranga city),Maori,350
Kaitemako (Tauranga city),Pacific,40
Kaitemako (Tauranga city),Asian,90
Kaitemako (Tauranga city),Middle Eastern/Latin American/African,10
Ohauiti,"Total people, ethnic group",3380
Ohauiti,European or Other (including New Zealander),3070
Ohauiti,Maori,340
Ohauiti,Pacific,40
Ohauiti,Asian,220
Ohauiti,Middle Eastern/Latin American/African,20
Baypark-Kairua,"Total people, ethnic group",620
Baypark-Kairua,European or Other (including New Zealander),310
Baypark-Kairua,Maori,380
Baypark-Kairua,Pacific,20
Baypark-Kairua,Asian,10
Baypark-Kairua,Middle Eastern/Latin American/African,0
Welcome Bay West,"Total people, ethnic group",2910
Welcome Bay West,European or Other (including New Zealander),2330
Welcome Bay West,Maori,770
Welcome Bay West,Pacific,130
Welcome Bay West,Asian,160
Welcome Bay West,Middle Eastern/Latin American/African,50
Welcome Bay East,"Total people, ethnic group",2650
Welcome Bay East,European or Other (including New Zealander),2010
Welcome Bay East,Maori,730
Welcome Bay East,Pacific,90
Welcome Bay East,Asian,180
Welcome Bay East,Middle Eastern/Latin American/African,20
Pacific View,"Total people, ethnic group",3130
Pacific View,European or Other (including New Zealander),2700
Pacific View,Maori,480
Pacific View,Pacific,70
Pacific View,Asian,220
Pacific View,Middle Eastern/Latin American/African,30
Welcome Bay South,"Total people, ethnic group",3570
Welcome Bay South,European or Other (including New Zealander),2980
Welcome Bay South,Maori,600
Welcome Bay South,Pacific,90
Welcome Bay South,Asian,300
Welcome Bay South,Middle Eastern/Latin American/African,50
Palm Beach North,"Total people, ethnic group",3340
Palm Beach North,European or Other (including New Zealander),2680
Palm Beach North,Maori,870
Palm Beach North,Pacific,120
Palm Beach North,Asian,230
Palm Beach North,Middle Eastern/Latin American/African,40
Palm Beach South-Gravatt,"Total people, ethnic group",3860
Palm Beach South-Gravatt,European or Other (including New Zealander),3480
Palm Beach South-Gravatt,Maori,440
Palm Beach South-Gravatt,Pacific,40
Palm Beach South-Gravatt,Asian,230
Palm Beach South-Gravatt,Middle Eastern/Latin American/African,30
Papamoa Beach North,"Total people, ethnic group",2900
Papamoa Beach North,European or Other (including New Zealander),2460
Papamoa Beach North,Maori,670
Papamoa Beach North,Pacific,150
Papamoa Beach North,Asian,140
Papamoa Beach North,Middle Eastern/Latin American/African,30
Doncaster,"Total people, ethnic group",3300
